transaction_id,property_id,transaction_date,listing_date,city,locality,postal_code,property_type,sale_type,buyer_type,bedrooms,bathrooms,area_sqft,price,price_per_sqft,source,source_scrape_timestamp,rera_status,builder_rating,infrastructure_score,macro_repo_rate
TRX_100000,PROP_2685,2019-01-01T00:00:00,2018-11-07T00:00:00,Mumbai,Bhayandar East,401105,Studio,New,Individual,0,1,355.16,3002422,8453.72,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,65,9,5.15
TRX_100001,PROP_2605,2019-01-01T00:00:00,2018-11-10T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Individual,1,1,498.94,4002646,8022.3,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,66,7,5.15
TRX_100002,PROP_4435,2019-01-01T00:00:00,2018-09-09T00:00:00,Mumbai,Bhayandar East,401105,Flat,New,Individual,1,1,436.23,3420885,7841.93,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,44,8,5.15
TRX_100003,PROP_2537,2019-01-01T00:00:00,2018-11-10T00:00:00,Mumbai,Mira Road,401107,Flat,Resale,Institution,2,2,786.76,5734709,7289.02,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,77,1,5.15
TRX_100004,PROP_3588,2019-01-01T00:00:00,2018-12-05T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,2,2,916.0,6999688,7641.58,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,86,6,5.15
TRX_100005,PROP_3815,2019-01-01T00:00:00,2018-11-26T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,2,2,821.79,6193125,7536.14,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,88,1,5.15
TRX_100006,PROP_4644,2019-01-01T00:00:00,2018-11-19T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,3,3,1325.54,11953424,9017.78,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,87,7,5.15
TRX_100007,PROP_2635,2019-01-01T00:00:00,2018-12-09T00:00:00,Mumbai,Mira Road,401107,Flat,New,Individual,1,1,470.92,4372845,9285.75,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,66,4,5.15
TRX_100008,PROP_1895,2019-01-01T00:00:00,2018-09-18T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Individual,2,2,732.85,5780647,7887.9,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,60,7,5.15
TRX_100009,PROP_3502,2019-01-02T00:00:00,2018-10-12T00:00:00,Mumbai,Bhayandar West,401105,Villa,Resale,Individual,3,3,2491.43,21814479,8755.81,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,True,54,1,5.15
TRX_100010,PROP_2167,2019-01-02T00:00:00,2018-09-06T00:00:00,Mumbai,Bhayandar East,401105,Flat,Resale,Institution,3,3,1109.17,9101091,8205.32,synthetic_pipeline_fallback,2026-03-01T19:42:55.448658,False,91,3,5.15
