area_name,zone,property_type,rate_per_sqft,appreciation_5yr,rental_yield,data_source
Runwal Gardens,Mira Bhayandar,Residential,6769,15.1,3.66,synthetic
Sai Sarang,Mira Road East,Residential,9006,17.1,2.86,synthetic
Shree Krishna Towers,Mira Bhayandar,Residential,6622,23.3,3.97,synthetic
Haware Citi,Kashimira,Residential,8379,17.7,3.67,synthetic
Lodha Splendora,Mira Bhayandar,Residential,6403,33.9,3.29,synthetic
Golden Nest,Mira Road East,Residential,7394,21.0,3.33,synthetic
Acme Ozone,Kashimira,Residential,6808,38.1,3.87,synthetic
Rustomjee Urbania,Kashimira,Residential,7875,28.0,3.07,synthetic
Haware Citi,Mira Road East,Residential,7809,34.1,4.45,synthetic
Acme Ozone,Mira Road West,Residential,7692,21.3,3.11,synthetic
Lodha Splendora,Mira Bhayandar,Residential,7208,24.7,4.03,synthetic
Haware Citi,Mira Bhayandar,Residential,7797,31.7,2.93,synthetic
Thakur Village,Mira Bhayandar,Residential,6340,23.7,4.17,synthetic
Kanakia Paris,Kashimira,Residential,8535,42.6,3.59,synthetic
Poonam Sagar,Mira Road West,Residential,10184,43.8,2.83,synthetic
Sheth Vasant Oasis,Kashimira,Residential,6268,15.3,3.32,synthetic
Shree Krishna Towers,Mira Road West,Residential,9426,25.6,2.73,synthetic
Maxus Mall Residency,Mira Road East,Residential,9494,42.6,4.43,synthetic
Runwal Gardens,Kashimira,Residential,6824,25.8,3.68,synthetic
Acme Ozone,Kashimira,Residential,7671,21.4,3.01,synthetic
Runwal Gardens,Mira Road East,Residential,8881,18.4,2.93,synthetic
Rustomjee Urbania,Mira Road West,Residential,9147,32.1,3.86,synthetic
Haware Citi,Mira Road East,Residential,7374,30.9,4.09,synthetic
Golden Nest,Mira Bhayandar,Residential,8614,25.0,4.11,synthetic
Maxus Mall Residency,Mira Bhayandar,Residential,6270,25.4,2.98,synthetic
Sheetal Tapovan,Kashimira,Residential,6177,26.7,4.01,synthetic
Gundecha Valley,Kashimira,Residential,7926,42.4,4.06,synthetic
Kanakia Paris,Mira Road West,Residential,9943,21.2,3.19,synthetic
Rustomjee Urbania,Mira Road East,Residential,8402,36.2,4.43,synthetic
Runwal Gardens,Kashimira,Residential,8775,25.9,4.45,synthetic
Beverly Park,Mira Road West,Residential,10167,31.1,3.79,synthetic
Maxus Mall Residency,Mira Road West,Residential,7811,32.7,3.53,synthetic
Runwal Gardens,Mira Road West,Residential,9342,17.5,3.18,synthetic
Lodha Splendora,Kashimira,Residential,7719,16.7,4.3,synthetic
Gundecha Valley,Mira Road East,Residential,6618,36.0,2.97,synthetic
Haware Citi,Mira Road West,Residential,10428,22.4,2.52,synthetic
Poonam Sagar,Mira Road East,Residential,8993,25.6,2.77,synthetic
Sheth Vasant Oasis,Kashimira,Residential,8607,16.5,4.03,synthetic
Haware Citi,Mira Road West,Residential,9942,27.8,3.22,synthetic
Lodha Splendora,Mira Bhayandar,Residential,8881,43.3,3.79,synthetic
Rustomjee Urbania,Kashimira,Residential,6716,30.5,3.83,synthetic
Shree Krishna Towers,Mira Road West,Residential,7663,42.1,3.09,synthetic
Poonam Sagar,Kashimira,Residential,6933,30.6,2.78,synthetic
Beverly Park,Mira Bhayandar,Residential,7907,19.4,3.77,synthetic
Maxus Mall Residency,Kashimira,Residential,7459,41.7,2.85,synthetic
Sai Sarang,Mira Bhayandar,Residential,6743,23.3,3.39,synthetic
Shree Krishna Towers,Mira Bhayandar,Residential,8759,30.2,3.62,synthetic
Sai Sarang,Kashimira,Residential,8483,30.8,2.92,synthetic
Golden Nest,Mira Bhayandar,Residential,8048,29.3,3.13,synthetic
Evershine Millennium Paradise,Mira Road West,Residential,8144,43.5,3.9,synthetic
